country_code,indicator,year,value
BGD,food_imports_pct_merch_imports,2016,15.2417870221937
BGD,food_imports_pct_merch_imports,2015,16.561579168916
BGD,food_imports_pct_merch_imports,2013,16.8657778641165
BGD,food_imports_pct_merch_imports,2012,14.4704238243695
BGD,food_imports_pct_merch_imports,2011,19.4937925236267
BGD,food_imports_pct_merch_imports,2010,17.4240481119914
BGD,remittances_pct_gdp,2025,7.42441824923219
BGD,remittances_pct_gdp,2024,6.11494686698428
BGD,remittances_pct_gdp,2023,5.04555725354251
BGD,remittances_pct_gdp,2022,4.6737649876073
BGD,remittances_pct_gdp,2021,5.33437804101103
BGD,remittances_pct_gdp,2020,5.81626795895569
BGD,remittances_pct_gdp,2019,5.22841813674275
BGD,remittances_pct_gdp,2018,4.84382269321267
BGD,remittances_pct_gdp,2017,4.59667741438375
BGD,remittances_pct_gdp,2016,5.11803588431436
BGD,remittances_pct_gdp,2015,7.83797175617291
BGD,remittances_pct_gdp,2014,8.66899486049041
BGD,remittances_pct_gdp,2013,9.24470026765418
BGD,remittances_pct_gdp,2012,10.5915144036117
BGD,remittances_pct_gdp,2011,9.3859804789798
BGD,remittances_pct_gdp,2010,9.41241447446753
BGD,fdi_net_inflows_pct_gdp,2025,0.404544313117544
BGD,fdi_net_inflows_pct_gdp,2024,0.283870773350074
BGD,fdi_net_inflows_pct_gdp,2023,0.335721505298968
BGD,fdi_net_inflows_pct_gdp,2022,0.347960024540439
BGD,fdi_net_inflows_pct_gdp,2021,0.414118154040593
BGD,fdi_net_inflows_pct_gdp,2020,0.407859894856915
BGD,fdi_net_inflows_pct_gdp,2019,0.543244141585063
BGD,fdi_net_inflows_pct_gdp,2018,0.75354913412869
BGD,fdi_net_inflows_pct_gdp,2017,0.616341784631384
BGD,fdi_net_inflows_pct_gdp,2016,0.879528340271998
BGD,fdi_net_inflows_pct_gdp,2015,1.4507824552936
BGD,fdi_net_inflows_pct_gdp,2014,1.46870305074204
BGD,fdi_net_inflows_pct_gdp,2013,1.73532012481503
BGD,fdi_net_inflows_pct_gdp,2012,1.18850391920183
BGD,fdi_net_inflows_pct_gdp,2011,0.983399364184761
BGD,fdi_net_inflows_pct_gdp,2010,1.06896766308322
BGD,unemployment_rate,2025,3.778
BGD,unemployment_rate,2024,3.635
BGD,unemployment_rate,2023,3.352
BGD,unemployment_rate,2022,4.593
BGD,unemployment_rate,2021,5.457
BGD,unemployment_rate,2020,5.539
BGD,unemployment_rate,2019,4.504
BGD,unemployment_rate,2018,4.439
BGD,unemployment_rate,2017,4.372
BGD,unemployment_rate,2016,4.35
BGD,unemployment_rate,2015,4.397
BGD,unemployment_rate,2014,4.417
BGD,unemployment_rate,2013,4.426
BGD,unemployment_rate,2012,4.07
BGD,unemployment_rate,2011,3.737
BGD,unemployment_rate,2010,3.379
BHR,fiscal_balance_pct_gdp,2020,-12.3991609013466
BHR,fiscal_balance_pct_gdp,2019,-4.49608623842714
BHR,fiscal_balance_pct_gdp,2018,-6.01521087644748
BHR,fiscal_balance_pct_gdp,2017,-9.54921540708742
BHR,fiscal_balance_pct_gdp,2016,-12.8293050669353
BHR,fiscal_balance_pct_gdp,2015,-12.4069815745832
BHR,fiscal_balance_pct_gdp,2014,-3.47945270439261
BHR,fiscal_balance_pct_gdp,2013,-3.36024885257168
BHR,fiscal_balance_pct_gdp,2012,-1.87486565711785
BHR,fiscal_balance_pct_gdp,2011,-0.519062177718191
BHR,fiscal_balance_pct_gdp,2010,-4.58465827632565
BHR,interest_payments_pct_revenue,2020,31.9422121469037
BHR,interest_payments_pct_revenue,2019,22.1965712704672
BHR,interest_payments_pct_revenue,2018,22.2888788363676
BHR,interest_payments_pct_revenue,2017,21.7717442615796
BHR,interest_payments_pct_revenue,2016,19.0727522284835
BHR,interest_payments_pct_revenue,2015,13.194917121661
BHR,interest_payments_pct_revenue,2014,7.35881974047496
BHR,interest_payments_pct_revenue,2013,6.53618901920789
BHR,interest_payments_pct_revenue,2012,4.95967102389092
BHR,interest_payments_pct_revenue,2011,4.06180432295173
BHR,interest_payments_pct_revenue,2010,4.16249161158658
BHR,private_credit_pct_gdp,2015,70.5500803025
BHR,private_credit_pct_gdp,2014,61.3347998045045
BHR,private_credit_pct_gdp,2013,66.9876399343585
BHR,private_credit_pct_gdp,2012,66.5172271480683
BHR,private_credit_pct_gdp,2011,66.9065925077703
BHR,private_credit_pct_gdp,2010,64.9376677365426
BHR,exports_pct_gdp,2024,87.4874315086406
BHR,exports_pct_gdp,2023,87.351143952571
BHR,exports_pct_gdp,2022,95.9613654006004
BHR,exports_pct_gdp,2021,86.2742186726683
BHR,exports_pct_gdp,2020,70.4544358235096
BHR,exports_pct_gdp,2019,73.0944239873751
BHR,exports_pct_gdp,2018,75.7153726820796
BHR,exports_pct_gdp,2017,72.2538621389219
BHR,exports_pct_gdp,2016,70.5882906981125
BHR,exports_pct_gdp,2015,79.3441035722346
BHR,exports_pct_gdp,2014,92.2255357196123
BHR,exports_pct_gdp,2013,100.826651632348
BHR,exports_pct_gdp,2012,98.265636232926
BHR,exports_pct_gdp,2011,95.6363487649272
BHR,exports_pct_gdp,2010,66.7027150376276
BHR,imports_pct_gdp,2024,69.9934379215464
BHR,imports_pct_gdp,2023,70.0967107297264
BHR,imports_pct_gdp,2022,71.1798757519344
BHR,imports_pct_gdp,2021,67.5250978124398
BHR,imports_pct_gdp,2020,65.0065491894219
BHR,imports_pct_gdp,2019,62.3231194108364
BHR,imports_pct_gdp,2018,68.3599998924555
BHR,imports_pct_gdp,2017,64.1753776714721
