country_code,year,access_to_electricity_pct,agriculture_pct_gdp,external_debt_private_nonguaranteed_usd,external_debt_public_publicly_guaranteed_usd,external_debt_stock_total_usd,gdp_per_capita_usd,gni_per_capita_atlas_usd,industry_pct_gdp,internet_users_pct,life_expectancy_years,manufacturing_pct_gdp,population,services_pct_gdp,urban_population_pct
BTN,2013,87.4,11.8526302443834,5092000.0,1613834794.5,1628150561.0,2679.95217201538,2630.0,38.8444853647316,22.39999962,70.161,7.50187955590297,725273.0,42.4570483572225,35.5740003158589
BTN,2014,91.4,12.0637822394106,1860000.0,1927205748.0,1941155641.3,2849.49998647303,2670.0,37.6449550742574,30.29999924,70.504,7.40898619356801,733139.0,43.0401099714327,36.1326606084122
BTN,2015,95.4,11.9950705393551,57744000.0,2045060882.4,2111104022.8,2954.04081911097,2740.0,38.4680946453953,39.79999924,70.797,7.31166063328875,740618.0,43.7448391110349,36.6983375690037
BTN,2016,99.3,12.0023717482714,60319000.0,2321213149.5,2389670352.4,3152.30905106786,2880.0,38.448996403302,46.50320053,71.119,6.8108295975252,747866.0,43.4015603426375,37.2745234641407
BTN,2017,97.7,12.9297924115136,55635000.0,2640779737.0,2707950876.9,3435.28804735662,2960.0,39.0388793784971,54.33549881,71.413,6.90939675932641,754335.0,43.2393187922464,37.8645544995016
BTN,2018,100.0,13.5509200361014,55104000.0,2584230634.3,2651977085.0,3400.20417245342,3150.0,35.2652134391702,63.48680115,71.711,8.74705665402725,759759.0,45.6144367238745,38.4661892776975
BTN,2019,100.0,12.9339527848851,51454000.0,2716292989.2,2803804731.6,3576.87987100503,3370.0,33.0939030506784,74.17939758,72.005,6.13116669148632,764824.0,49.6273581830858,39.0746823405146
BTN,2020,100.0,15.703075564462,41356000.0,3185320870.6,3236756638.4,3191.66906999331,3040.0,31.7909765311756,76.85079956,72.253,4.92917106171464,770006.0,49.9816378154438,39.6888839873439
BTN,2021,100.0,15.7947840049801,43858000.0,3186306538.0,3268867963.8,3570.61257980872,3300.0,31.6232724038612,85.63688389,72.448,7.22418278235388,775442.0,50.1791654417428,40.3075199874379
BTN,2022,100.0,14.6710119560904,43858000.0,3076881642.9,3160243054.4,3711.32767981591,3600.0,31.8248447380802,88.35620117,72.754,8.72709229133396,780914.0,51.196794354919,40.9365143617581
BTN,2023,100.0,14.9931086909036,43858000.0,3187642815.9,3266699740.1,3831.32535564326,3730.0,29.4044714589229,90.02140045,72.975,7.85181849393028,786385.0,52.7907800840706,41.7352457989939
BTN,2024,100.0,14.1490576006591,43858000.0,3322918899.6,3400087106.3,4228.05102403654,3910.0,31.6714138415403,91.27739716,73.262,6.61794085826323,791524.0,51.5211183188511,42.5645249803412
