reporter_code,flow,year,hs2_code,value_usd
BHR,X,2024,59,925537.71
BHR,X,2024,24,1437766.671
BHR,X,2024,41,22687.048
BHR,X,2024,08,2108295.233
BHR,X,2024,90,37744921.72
BHR,X,2024,83,30422856.158
BHR,X,2024,28,62226125.795
BHR,X,2024,93,85649.681
BHR,X,2024,12,2193462.44
BHR,X,2024,29,120184972.534
BHR,X,2024,37,63066.835
BHR,X,2024,73,472862199.148
BHR,X,2024,16,11391723.689
BHR,X,2024,18,3424164.165
BHR,X,2024,96,29263829.14
BHR,X,2024,27,6954232.585
BHR,X,2024,99,47050302.65
BHR,X,2024,03,45093790.155
BHR,X,2024,79,598830.424
BHR,X,2024,13,165787.686
BHR,X,2024,47,6755513.118
BHR,X,2024,01,8446424.336
BHR,X,2024,02,2042930.286
BHR,X,2024,67,41697.393
BHR,X,2024,31,268218155.514
BHR,X,2024,65,15571526.469
BHR,X,2024,15,3874680.041
BHR,X,2024,74,221958418.155
BHR,X,2024,87,477761464.026
BHR,X,2024,89,15542377.24
BHR,X,2024,97,506889.812
BHR,X,2024,95,8295979.922
BHR,X,2024,68,23960921.709
BHR,X,2024,49,1350328.36
BHR,X,2024,38,47927119.668
BHR,X,2024,62,32222536.604
BHR,X,2024,22,33894304.152
BHR,X,2024,35,1170980.183
BHR,X,2024,54,1705179.702
BHR,X,2024,07,20044209.62
BHR,X,2024,04,504601187.349
BHR,X,2024,78,585481.647
BHR,X,2024,80,943676.752
BHR,X,2024,52,8519289.176
BHR,X,2024,71,378114687.547
BHR,X,2024,48,39717603.151
BHR,X,2024,92,83731.542
BHR,X,2024,91,62737055.687
BHR,X,2024,10,525524.068
BHR,X,2024,55,157182.872
BHR,X,2024,42,7149728.063
BHR,X,2024,53,49995.851
BHR,X,2024,60,13714.282
BHR,X,2024,23,1362982.31
BHR,X,2024,81,2491126.242
BHR,X,2024,56,617159.812
BHR,X,2024,30,5077039.293
BHR,X,2024,17,28166631.962
BHR,X,2024,94,53250057.657
BHR,X,2024,25,986192.55
BHR,X,2024,82,6520860.938
BHR,X,2024,39,230969555.096
BHR,X,2024,40,52010738.964
BHR,X,2024,34,78385082.182
BHR,X,2024,44,22704068.202
EGY,M,2025,03,574229723.008
EGY,M,2025,05,11543257.536
EGY,M,2025,06,22233046.341
EGY,M,2025,09,848952961.877
EGY,M,2025,12,2542301210.57
EGY,M,2025,20,76174217.76
EGY,M,2025,25,317065850.02
EGY,M,2025,26,1363114981.899
EGY,M,2025,28,575602588.223
EGY,M,2025,29,2164533193.503
EGY,M,2025,32,604323985.495
EGY,M,2025,34,265201963.574
EGY,M,2025,37,25516686.044
EGY,M,2025,40,1041020071.806
EGY,M,2025,43,126837.57
EGY,M,2025,45,916982.503
EGY,M,2025,48,1375524758.813
EGY,M,2025,49,74513973.116
EGY,M,2025,52,1019344256.094
EGY,M,2025,54,1324188195.288
EGY,M,2025,57,11482846.527
EGY,M,2025,60,959790474.906
EGY,M,2025,65,9841900.845
EGY,M,2025,68,153995805.906
EGY,M,2025,69,179629290.471
EGY,M,2025,71,1109949870.498
EGY,M,2025,72,4286394123.455
EGY,M,2025,75,7189746.317
EGY,M,2025,78,11302534.056
EGY,M,2025,81,8781415.639
EGY,M,2025,84,8128740644.65
EGY,M,2025,87,5872244459.505
EGY,M,2025,89,14010539.778
EGY,M,2025,90,1212075794.047
EGY,M,2025,92,774782.873
EGY,M,2025,93,1709019.371
EGY,M,2025,96,158106486.781
EGY,M,2025,10,6771229406.58
EGY,M,2025,30,2935944024.884
EGY,M,2025,36,7391170.235
EGY,M,2025,50,1399930.528
EGY,M,2025,53,41223802.061
EGY,M,2025,70,230747804.204
EGY,M,2025,73,2393137229.401
EGY,M,2025,76,799615981.621
EGY,M,2025,97,149214.619
EGY,M,2025,01,420749266.948
EGY,M,2025,21,474316602.432
EGY,M,2025,24,348576817.77
EGY,M,2025,44,1264860303.21
EGY,M,2025,47,310667670.327
EGY,M,2025,85,6644513744.225
EGY,M,2025,88,1380862871.422
EGY,M,2025,91,38956912.743
EGY,M,2025,35,192497706.074
EGY,M,2025,38,1285439130.415
EGY,M,2025,41,3587769.307
EGY,M,2025,55,697135256.976
EGY,M,2025,58,64210806.063
EGY,M,2025,82,151308937.174
EGY,M,2025,22,86158081.717
EGY,M,2025,39,4272411268.803
EGY,M,2025,42,43760264.746
EGY,M,2025,59,81908166.176
