reporter_code,flow,year,partner_comtrade_code,partner_code,value_usd
TUR,M,2025,462,MDV,126385.0
TUR,M,2025,466,,1772922.0
TUR,M,2025,470,,84959347.0
TUR,M,2025,478,,21136004.0
TUR,M,2025,480,,11633914.0
TUR,M,2025,484,,1349980790.0
TUR,M,2025,490,,1490180725.0
TUR,M,2025,496,,1037401.0
TUR,M,2025,498,,391537993.0
TUR,M,2025,499,,31696571.0
TUR,M,2025,500,,4226.0
TUR,M,2025,504,MAR,1484401028.0
TUR,M,2025,508,,28801641.0
TUR,M,2025,512,OMN,1038508799.0
TUR,M,2025,516,,1850838.0
TUR,M,2025,520,,41353.0
TUR,M,2025,524,NPL,8314181.0
TUR,M,2025,528,,5159156541.0
TUR,M,2025,531,,174642.0
TUR,M,2025,533,,4071.0
TUR,M,2025,540,,29872.0
TUR,M,2025,554,,50512311.0
TUR,M,2025,558,,4216152.0
TUR,M,2025,562,,58601510.0
TUR,M,2025,566,,167975869.0
TUR,M,2025,570,,15047.0
TUR,M,2025,577,,109.0
TUR,M,2025,579,,799676083.0
TUR,M,2025,580,,4591.0
TUR,M,2025,581,,1264718.0
TUR,M,2025,583,,398.0
TUR,M,2025,584,,27096196.0
TUR,M,2025,585,,320722.0
TUR,M,2025,586,PAK,368956707.0
TUR,M,2025,591,,34571898.0
TUR,M,2025,598,,102918.0
TUR,M,2025,600,,28785511.0
TUR,M,2025,604,,403119926.0
TUR,M,2025,608,,275067487.0
TUR,M,2025,612,,2664.0
TUR,M,2025,616,,6030027480.0
TUR,M,2025,620,,1871474489.0
TUR,M,2025,624,,2025239.0
TUR,M,2025,626,,317252.0
TUR,M,2025,634,QAT,682408330.0
TUR,M,2025,642,,4817785673.0
TUR,M,2025,643,,42373068651.0
TUR,M,2025,646,,7505240.0
TUR,M,2025,654,,1104.0
TUR,M,2025,659,,800054.0
TUR,M,2025,660,,13846.0
TUR,M,2025,662,,2908.0
TUR,M,2025,666,,8636.0
TUR,M,2025,674,,5105331.0
TUR,M,2025,678,,25393.0
TUR,M,2025,682,SAU,3413043841.0
TUR,M,2025,686,,22434683.0
TUR,M,2025,688,,1445003085.0
TUR,M,2025,690,,21554845.0
TUR,M,2025,694,,1385089.0
TUR,M,2025,699,IND,6081685441.0
TUR,M,2025,702,,368565275.0
TUR,M,2025,703,,2320581262.0
TUR,M,2025,704,,2924557704.0
TUR,M,2025,705,,553554285.0
TUR,M,2025,706,SOM,1987200.0
TUR,M,2025,710,,1365784023.0
TUR,M,2025,716,,30943986.0
TUR,M,2025,724,,10166729811.0
TUR,M,2025,728,SSD,1657.0
TUR,M,2025,729,SDN,45856295.0
TUR,M,2025,740,,274430.0
TUR,M,2025,748,,60256.0
TUR,M,2025,752,,2286616875.0
TUR,M,2025,757,,15750175114.0
TUR,M,2025,760,SYR,235105518.0
TUR,M,2025,762,,193366949.0
TUR,M,2025,764,,1993077514.0
TUR,M,2025,768,,14481651.0
TUR,M,2025,772,,12829.0
TUR,M,2025,776,,3699.0
TUR,M,2025,780,,511858.0
TUR,M,2025,784,ARE,9673711499.0
TUR,M,2025,788,TUN,346240097.0
TUR,M,2025,795,,744704457.0
TUR,M,2025,796,,15810.0
TUR,M,2025,798,,113.0
TUR,M,2025,800,,40524866.0
TUR,M,2025,804,,2633760142.0
TUR,M,2025,807,,175408285.0
TUR,M,2025,818,EGY,3803443773.0
TUR,M,2025,826,,7255094840.0
TUR,M,2025,834,,79269610.0
TUR,M,2025,839,,20816011658.0
TUR,M,2025,842,,18080247362.0
TUR,M,2025,854,,7059979.0
TUR,M,2025,858,,708487874.0
TUR,M,2025,860,,1039898724.0
TUR,M,2025,862,,251110180.0
